title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Villa 4 pièces à  Grand Bassam, 800 000F CFA,,,Villa,,,2024-07-04 09:35:22,yapgi-immobilier,https://www.yapgi-immobilier.com/locat307.html,"Grand Bassam: ancienne route, dans la cité Alitalia, securisée,	 neuve et bien entretenue, villa duplex de 4 pièces avec un double séjour, une grande cuisine fermée, une dépendance et une buanderie. La villa a été modifiée et est plus grande.LOCAT307    GRAND SEJOUR   3 CHAMBRES  CUISINE AFRICAINE  JARDIN DEPENDANTE  GARAGE  SECURITE"
A LOUER VILLA DUPLEX 4 PIECES A COCODY FAYA CITÉ SYMPHONIA,900.000F CFA,,,Villa,,,2024-07-04 09:35:24,yapgi-immobilier,https://www.yapgi-immobilier.com/locat337.html,"Quartier abatta, non loin de l'école jules verne, dans une cité sécurisée et bien entretenu, belle villa duplex avec garage, cuisine africaine, dépendance, petit jardin, une chambre visiteur au rez de chaussée avec salle d'eau et à l'étage 2 chambres enfants qui se partagent la même salle d'eau et une chambre principale avec dressing et salle de bain.   Nb: Piscine et salle de sport communeLOCAT337    GRAND SEJOUR   3 CHAMBRES   CUISINE    JARDIN PISCINE COMMUNE  GARAGE"
VILLA BASSE DE 4 PIÈCES/ M'BADON,550.000  HABITATION    ET       650.000   BUREAUX,,,Villa,,,2024-07-04 09:35:27,yapgi-immobilier,https://www.yapgi-immobilier.com/locat344.html,"UNE VILLA BASSE DE TYPE 4PIECES EN BORDUR DE VOIE  AUSSI IDEAL POUR BUREAUX   3GRANDES CHAMBRE  GRAND SALON LUMINEUX  GRANDES CUISINES JARDIN  GARAGE DE 2 VÉHICULES   SITUATION : COCODY, RIVIÈRA M'BADON APRES L'UNIVERSITÉ UIPALOCAT344   GRAND SEJOUR   3 CHAMBRES   CUISINE    JARDIN GARAGE  SECURITE"
