title,price,localisation,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description,site,date,superficie_m2,grappe,region,ville,commune,quartier,Avec_eau,Avec_electricite,Materiaux_en_dur,Toilettes_internes,cours_commune,quartier_chic,nb_pieces_classe,code_var 2014,wifi,jardin,meubler,climatisation,garage,balcon,sécuriser,étage,parking,douche,séjour,équiper,placard,salle,manger,bureau,piscine,gardien,électrogène,four,cinéma,ascenseur,double vitrage,terrasse,toilette,buanderie,chauffe,cuisine,bord_de_mer,forêt,parc,montagne,rivière,lac,zone_commerciale,pharmacie,restaurant,bar,ambassade,école,hôpital,commodités,externalités_naturelles,externalités_artificielles
location appartement à la riviera 3,500000.0,"cocody, abidjan, côte d'ivoire",appartement,3,3,2024-06-21 11:00:01,seydou tessougue,https://ci.coinafrique.com/annonce/appartements/location-appartement-a-la-riviera-3-4794579,"riviera 3  appartements de standing (2 & 3 pièces) disponibles pour location à cocody riviera 3 dans une zone calme, sécurisée et résidentielle.  salon/salle à manger, chambres autonomes, cuisine moderne, toilette visiteurs, buanderie, balcon, parking interne...  ps : visite possible sur rdv ferme ⚠️ avec les frais.  loyers : 250 & 270.000 xof (2 pièces) / 500.000 xof (3 pièces)",ci.coinafrique.com,2024-06-21,150.0,abidjan,abidjan,abidjan,marcory,zone 3,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement 3 pièces - riviera 4,400000.0,"cocody, abidjan, côte d'ivoire",appartement,3,2,2024-06-21 11:00:11,seydou tessougue,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-riviera-4-4765119,location appartement 3 pièces au 2em étage 3 douche très bien situé facile d'accès à 2 minutes des écoles françaises avec jardin garage loyer 400mil négociable légèrement  j'ai les clés à main ✋ visite possible avec les frais merci .,ci.coinafrique.com,2024-06-21,150.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
location appartement 2 pièces - cocody 2 plateaux 7eme tranche,250000.0,"cocody, abidjan, côte d'ivoire",appartement,2,1,2024-06-21 11:00:29,immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-cocody-2-plateaux-7eme-tranche-4745567,en location*   ☑️```un  appartement de standing 2 pièces à louer a cocody 2 plateaux 7ème tranche. composé de : -1 chambres autonomes spacieuse avec placards -1 séjour spacieux avec balcon -1cuisine avec balcon -1toilette visiteur -parking interne/externe -acces bitumé ☑️loyer:250.000f visite possible sur rendez vous```,ci.coinafrique.com,2024-06-21,90.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
location villa duplex haut standing 4 pièces - riviera 4,1500000.0,"cocody, abidjan, côte d'ivoire",duplex,4,4,2024-06-21 11:00:38,seydou tessougue,https://ci.coinafrique.com/annonce/appartements/location-villa-duplex-haut-standing-4-pieces-riviera-4-4783156,"location villa duplex 4 pièces. riviera 4 (pas loin du lycée jacques prévert) - 01 séjours / salle à manger  - 03 chambres autonomes  - 01 cuisine  - 01 toilette visiteurs le tout dans une cité comprenant : -piscine - vigile 24h/7j  - un parking   conditions de location : 2 mois de caution, 2 mois d'avance,1 mois d'agence. loyer :1.500.000f(non meublé) 1.700.000 (meublé)",ci.coinafrique.com,2024-06-21,180.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,4 pièces et plus,401000006,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
location appartement - cote d'ivoire,1400000.0,"marcory, abidjan, côte d'ivoire",appartement,4,4,2024-06-21 11:00:55,henri nzo,https://ci.coinafrique.com/annonce/appartements/location-appartement-cote-divoire-4785016,bietry un appart de standing avec toutes les commodités des splits installés des chambres autonomes un parking interne  des placards dans les chambres un chauffe eau un grand balcon un accès très facile à l'immeuble  nb un ascenseur nb frais de visite 10000 frcs,ci.coinafrique.com,2024-06-21,200.0,abidjan,abidjan,abidjan,marcory,,1,1,1,1,0,0,4 pièces et plus,401000002,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
location appartement 3 pièces - riviera m badon,500000.0,"cocody, abidjan, côte d'ivoire",appartement,3,3,2024-06-21 11:01:03,seydou tessougue,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-riviera-m-badon-4768741,très bel appartement haut standing 3 pièces à louer   cocody riviera 4 / m'badon  nous mettons à disposition pour la location  bel appartement 3 pièces  situé à la riviera 4 m'badon  2 chambres autonomes  1 séjour lumineux  1 salle d'eau visiteur  parking interne splits et chauffe eau installer  nb accès facile et bitumé  loyer mensuel 500 mille,ci.coinafrique.com,2024-06-21,150.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement haut standing 2 pièces - riviera m badon,300000.0,"cocody, abidjan, côte d'ivoire",appartement,2,2,2024-06-21 11:01:21,seydou tessougue,https://ci.coinafrique.com/annonce/appartements/location-appartement-haut-standing-2-pieces-riviera-m-badon-4758445,"location  appartement 2 pièces de bon standing. riviera m'badon - 1 séjours / salle à manger - 1 chambres  autonome - 1 cuisine  - 1 toilette visiteurs  conditions de location : 2 mois de cautions, 2 mois de loyer, 1 mois d'honoraires d'agence loyer:  300 mille négociable . au rez de chaussé . pas de parking interne .",ci.coinafrique.com,2024-06-21,120.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location  appartement 5 pièces - golf 4,1200000.0,"cocody, abidjan, côte d'ivoire",appartement,5,5,2024-06-21 11:01:40,massa immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-5-pieces-golf-4-4743798,"riviera golf beach  grand appartement haut standing de 5 pièces à cocody riviera golf beach, à proximité du nouveau siège d’orange et à 5mm du pont hkb.   l' appartement est composé de:  - 03 chambres (autonomes et placardées) - 01 grand salon/salle à manger - 01 cuisine placardée - 01 boyerie  - 04 douches+wc visiteur  - des balcons - une buanderie - de grand placards - bien staffé  - des staff luminaries  - des baies vitrées  - installations splits  - installation chauffe eau - un parking interne - des camera de surveillance  - sécurité h24...  loyer: 1,200,000 xof (charges inclues)  visite sur rdv   massa immobilier",ci.coinafrique.com,2024-06-21,200.0,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
location appartement f3 - bonoumin,900000.0,"cocody, abidjan, côte d'ivoire",appartement,3,3,2024-06-21 11:02:16,sael immo,https://ci.coinafrique.com/annonce/appartements/location-appartement-f3-bonoumin-4773814,en location  appartement type f3 bonoumin  retrouvez cet appartement haut standing  lumineux prêt à vous accueillir pour votre séjour.  • un parking intérieur  • un ballon de gaz • un groupe électrogène  • un ascenseur  • un ballon d'eau chaude  • une cuisine semi équipée  • sécurité h24 • de grandes pièces autonomes  loyer mensuel : 900 000 fcfa visite possible à tout moment. mim@,ci.coinafrique.com,2024-06-21,,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement 3 pièces - cocody,300000.0,"cocody, abidjan, côte d'ivoire",appartement,3,2,2024-06-21 11:02:24,moya prestige immo,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-4744388,"riviera abatta, carrefour drogba, rue calme, immeuble neuf  appartement 3 pieces entierement climatisé.  compose de :  un sejour,  une cuisine independante semi equipee,  avec buanderie. suppresseur commun chateau d'eau de 10 000 litres conciergerie parking exterieur",ci.coinafrique.com,2024-06-21,150.0,abidjan,abidjan,abidjan,cocody,abatta,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
